full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,110143,110143,18302,237,237,39,https://github.com/anthropics/claude-code
claude-code-best/claude-code,14363,14363,14341,187,187,114,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,143292,143292,21871,609,609,155,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1881,1881,5541,18,18,28,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,49246,49246,7965,197,197,32,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8537,8537,14200,23,23,26,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1797,1797,3080,41,41,54,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1756,1756,2623,29,29,34,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1302,1302,2225,7,7,8,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,37020,37020,2948,72,72,10,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,49,49,7371,0,0,-8,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,1071,1071,2021,18,18,19,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31665,31665,2505,24,24,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24250,24250,2385,14,14,3,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32537,32537,2982,106,106,8,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,667,667,994,5,5,10,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,165,165,2212,0,0,4,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2814,2814,3608,21,21,15,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2065,2065,3381,8,8,14,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16522,16522,1870,51,51,8,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6926,6926,1673,10,10,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8376,8376,1554,26,26,4,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8288,8288,1258,34,34,11,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9421,9421,1203,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8510,8510,630,8,8,1,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,285,285,580,1,1,3,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,737,737,1701,6,6,9,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7191,7191,506,8,8,2,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1727,1727,1920,41,41,21,https://github.com/chauncygu/collection-claude-code-source-code
ChrisWiles/claude-code-showcase,5726,5726,513,2,2,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,851,851,1698,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
liuup/claude-code-analysis,1041,1041,997,33,33,13,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3770,3770,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
leaked-claude-code/leaked-claude-code,835,835,1023,7,7,7,https://github.com/leaked-claude-code/leaked-claude-code
huangserva/claude-code-cli,523,523,1252,5,5,11,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2235,2235,550,54,54,10,https://github.com/lintsinghua/claude-code-book
1rgs/claude-code-proxy,3380,3380,448,2,2,1,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26720,26720,10985,30,30,34,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,887,887,1127,3,3,-1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3482,3482,594,3,3,1,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111833,111833,12679,231,231,37,https://github.com/anthropics/skills
zebbern/claude-code-guide,3864,3864,366,2,2,1,https://github.com/zebbern/claude-code-guide
alex000kim/claude-code,198,198,307,3,3,2,https://github.com/alex000kim/claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7384,7384,365,4,4,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,31178,31178,5205,70,70,11,https://github.com/sickn33/antigravity-awesome-skills
xorespesp/claude-code,206,206,284,2,2,5,https://github.com/xorespesp/claude-code
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
VineeTagarwaL-code/claude-code,259,259,261,1,1,0,https://github.com/VineeTagarwaL-code/claude-code
Yuyz0112/claude-code-reverse,2338,2338,402,2,2,1,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,188,188,283,0,0,-1,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1174,1174,475,18,18,11,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,2995,2995,422,12,12,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2350,2350,329,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2371,2371,320,4,4,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4141,4141,363,3,3,0,https://github.com/anthropics/claude-code-security-review
freestylefly/claude-code,119,119,273,0,0,0,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2574,2574,285,0,0,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,362,362,612,2,2,4,https://github.com/AprilNEA/claude-code-source
chiragjoshi12/claude-code,177,177,216,0,0,3,https://github.com/chiragjoshi12/claude-code
Alishahryar1/free-claude-code,1723,1723,305,18,18,2,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-base-action,785,785,598,0,0,0,https://github.com/anthropics/claude-code-base-action
Windy3f3f3f3f/how-claude-code-works,1564,1564,464,31,31,7,https://github.com/Windy3f3f3f3f/how-claude-code-works
Kuberwastaken/claurst,8557,8557,7643,47,47,15,https://github.com/Kuberwastaken/claurst
ding113/claude-code-hub,2303,2303,260,3,3,-1,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,194,194,198,2,2,1,https://github.com/fazxes/Claude-code
mehmoodosman/claude-code,154,154,211,1,1,3,https://github.com/mehmoodosman/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5684,5684,499,51,51,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
eyaltoledano/claude-task-master,26427,26427,2477,2,2,0,https://github.com/eyaltoledano/claude-task-master
https-deeplearning-ai/sc-claude-code-files,479,479,650,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,23645,23645,3945,90,90,11,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,14539,14539,1485,29,29,3,https://github.com/snarktank/ralph
garrytan/gstack,65761,65761,9024,303,303,69,https://github.com/garrytan/gstack
obra/superpowers,137979,137979,11664,556,556,58,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1386,1386,281,2,2,-1,https://github.com/edmund-io/edmunds-claude-code
wshobson/agents,33096,33096,3606,20,20,2,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3628,3628,256,4,4,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
luyao618/Claude-Code-Source-Study,988,988,426,28,28,11,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,817,817,323,9,9,1,https://github.com/repowise-dev/claude-code-prompts
bfly123/claude_code_bridge,2108,2108,197,2,2,0,https://github.com/bfly123/claude_code_bridge
isboyjc/claude-code,129,129,180,1,1,1,https://github.com/isboyjc/claude-code
Yeachan-Heo/oh-my-claudecode,25268,25268,2320,242,242,20,https://github.com/Yeachan-Heo/oh-my-claudecode
lowcortisolprogrammer/claude-code,169,169,160,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
ghuntley/claude-code-source-code-deobfuscation,965,965,553,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16185,16185,1822,35,35,6,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,551,551,493,2,2,3,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1765,1765,274,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1421,1421,211,4,4,1,https://github.com/feiskyer/claude-code-settings
AICoderTudou/claude-code-tudou,430,430,360,4,4,5,https://github.com/AICoderTudou/claude-code-tudou
JrCx7scC/claude-code-source,283,283,420,8,8,11,https://github.com/JrCx7scC/claude-code-source
luongnv89/claude-howto,21680,21680,2568,359,359,39,https://github.com/luongnv89/claude-howto
alirezarezvani/claude-skills,9819,9819,1205,57,57,6,https://github.com/alirezarezvani/claude-skills
siteboon/claudecodeui,9549,9549,1259,15,15,4,https://github.com/siteboon/claudecodeui
sugyan/claude-code-webui,1001,1001,231,2,2,-1,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3031,3031,573,27,27,4,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,1117,1117,310,9,9,0,https://github.com/rohitg00/awesome-claude-code-toolkit
centminmod/my-claude-code-setup,2163,2163,217,1,1,0,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,200,200,451,1,1,1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1521,1521,240,2,2,0,https://github.com/lst97/claude-code-sub-agents
